file;mode;orig_bytes;comp_bytes;ratio;bpp;entropy;compress_time;decompress_time;status
cb.raw;base;262144;3342;0,0127;0,1020;1,0024;,0148;,0137;OK
cb.raw;-m;262144;3440;0,0131;0,1050;1,0024;,0178;,0150;OK
cb.raw;-a;262144;3611;0,0138;0,1102;1,0024;,0249;,0140;OK
cb.raw;-a_-m;262144;3675;0,0140;0,1122;1,0024;,0395;,0150;OK
cb2.raw;base;262144;9659;0,0368;0,2948;6,9060;,0547;,0133;OK
cb2.raw;-m;262144;9337;0,0356;0,2849;6,9060;,1299;,0149;OK
cb2.raw;-a;262144;10731;0,0409;0,3275;6,9060;,1054;,0127;OK
cb2.raw;-a_-m;262144;9367;0,0357;0,2859;6,9060;,2160;,0188;OK
df1h.raw;base;262144;3537;0,0135;0,1079;8,0000;,0126;,0145;OK
df1h.raw;-m;262144;3253;0,0124;0,0993;8,0000;,0149;,0150;OK
df1h.raw;-a;262144;5675;0,0216;0,1732;8,0000;,0564;,0144;OK
df1h.raw;-a_-m;262144;3467;0,0132;0,1058;8,0000;,0250;,0151;OK
df1hvx.raw;base;262144;16312;0,0622;0,4978;3,2547;,1180;,0153;OK
df1hvx.raw;-m;262144;18540;0,0707;0,5658;3,2547;,2648;,0156;OK
df1hvx.raw;-a;262144;19154;0,0731;0,5845;3,2547;,3381;,0155;OK
df1hvx.raw;-a_-m;262144;21737;0,0829;0,6634;3,2547;,4870;,0184;OK
df1v.raw;base;262144;4388;0,0167;0,1339;0,4238;,0335;,0131;OK
df1v.raw;-m;262144;3253;0,0124;0,0993;0,4238;,0158;,0149;OK
df1v.raw;-a;262144;4523;0,0173;0,1380;0,4238;,0368;,0132;OK
df1v.raw;-a_-m;262144;3479;0,0133;0,1062;0,4238;,0247;,0174;OK
nk01.raw;base;262144;262180;1,0001;8,0011;6,4650;2,7009;,0122;OK
nk01.raw;-m;262144;262180;1,0001;8,0011;6,4650;2,7980;,0137;OK
nk01.raw;-a;262144;262315;1,0007;8,0052;6,4650;4,8384;,0155;OK
nk01.raw;-a_-m;262144;262315;1,0007;8,0052;6,4650;4,9213;,0187;OK
shp.raw;base;262144;4969;0,0190;0,1516;0,1824;,0697;,0159;OK
shp.raw;-m;262144;5171;0,0197;0,1578;0,1824;,0587;,0182;OK
shp.raw;-a;262144;4395;0,0168;0,1341;0,1824;,0341;,0159;OK
shp.raw;-a_-m;262144;4491;0,0171;0,1371;0,1824;,0327;,0155;OK
shp1.raw;base;262144;47928;0,1828;1,4626;1,8943;,3274;,0157;OK
shp1.raw;-m;262144;51498;0,1964;1,5716;1,8943;,2983;,0178;OK
shp1.raw;-a;262144;30974;0,1182;0,9453;1,8943;,4409;,0154;OK
shp1.raw;-a_-m;262144;32760;0,1250;0,9998;1,8943;,4554;,0180;OK
shp2.raw;base;262144;59166;0,2257;1,8056;1,9007;,4818;,0157;OK
shp2.raw;-m;262144;64140;0,2447;1,9574;1,9007;,4321;,0179;OK
shp2.raw;-a;262144;51722;0,1973;1,5784;1,9007;,7951;,0166;OK
shp2.raw;-a_-m;262144;56053;0,2138;1,7106;1,9007;,7581;,0171;OK
